customer_id,annual_income,loan_amount,credit_score,transaction_count,spending_ratio,join_date,default_flag,age,education_level,repayment_history,inflation_rate,unemployment_rate,economic_indicator_date,join_year,join_month,join_day,join_weekday,debt_to_income_ratio,average_monthly_transactions,spending_to_income_ratio,gender_Female,gender_Male,gender_Other,region_East,region_North,region_South,region_West,employment_type_Salaried,employment_type_Self-Employed,employment_type_Unemployed,loan_purpose_Business,loan_purpose_Car,loan_purpose_Education,loan_purpose_Home,loan_purpose_Other
CUST100001,513968.72,298514.38,631.21,49,31.16,2019-11-12,1,41.0,Graduate,1,5.2,4.8,2026-01-01,2019,11,12,1,0.5808026216070115,8.166666666666666,0.3116,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
CUST100002,671944.56,300776.56,679.985,51,54.54,2024-01-20,0,34.0,Primary,1,5.2,4.8,2026-01-01,2024,1,20,5,0.4476210954070377,8.5,0.5454,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
CUST100003,1021614.47,148211.5,680.14,41,16.46,2022-01-06,0,43.0,Graduate,4,5.2,4.8,2026-01-01,2022,1,6,3,0.14507576424597823,6.833333333333333,0.1646,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
CUST100004,351832.2,227458.78,590.62,54,15.89,2020-06-14,0,53.0,Post-Graduate,3,4.7,5.1,2026-01-01,2020,6,14,6,0.6464979043987445,9.0,0.1589,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
CUST100005,657195.96,413843.75,649.94,54,29.01,2025-07-30,0,33.0,Graduate,0,4.9,4.4,2026-01-01,2025,7,30,2,0.6297113421086764,9.0,0.2901,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
CUST100006,1952914.33,1093881.58,705.2,44,22.84,2024-02-03,0,33.0,Post-Graduate,2,6.0,6.2,2026-01-01,2024,2,3,5,0.5601277860457914,7.333333333333333,0.2284,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
CUST100007,881332.45,544879.47,596.97,38,27.31,2020-10-23,0,53.0,Graduate,1,6.0,6.2,2026-01-01,2020,10,23,4,0.6182451014937667,6.333333333333333,0.2731,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
CUST100008,832879.29,714613.44,755.18,46,31.5,2022-07-19,0,44.0,Secondary,1,4.7,5.1,2026-01-01,2022,7,19,1,0.8580036129845418,7.666666666666667,0.315,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
CUST100009,1805325.66,141758.15,762.52,38,49.45,2022-05-04,0,31.0,Secondary,3,4.9,4.4,2026-01-01,2022,5,4,2,0.07852220413241122,6.333333333333333,0.49450000000000005,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
CUST100010,1289590.01,108115.99,599.07,41,28.78,2019-05-07,1,42.0,Graduate,2,4.7,5.1,2026-01-01,2019,5,7,1,0.08383749033539738,6.833333333333333,0.2878,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
CUST100011,886951.91,181345.2,768.25,48,23.57,2019-12-15,0,31.0,Graduate,1,5.2,4.8,2026-01-01,2019,12,15,6,0.20445888661539724,8.0,0.2357,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
CUST100012,547888.94,411490.78,670.67,45,29.57,2023-11-02,0,31.0,Primary,0,6.0,6.2,2026-01-01,2023,11,2,3,0.7510477944672511,7.5,0.2957,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
CUST100013,641939.13,315726.3,707.2,42,24.2,2021-12-03,0,39.0,Graduate,2,5.2,4.8,2026-01-01,2021,12,3,4,0.49183214614133275,7.0,0.242,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
CUST100014,625002.24,375846.91,647.72,39,22.35,2020-12-28,1,18.0,Graduate,1,4.7,5.1,2026-01-01,2020,12,28,0,0.6013529007512036,6.5,0.2235,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
CUST100015,521228.39,153656.27,740.0,42,16.14,2019-09-01,0,18.0,Graduate,1,6.0,6.2,2026-01-01,2019,9,1,6,0.2947964327115796,7.0,0.16140000000000002,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
CUST100016,730400.08,553848.06,825.0,32,36.19,2024-08-18,0,30.0,Graduate,2,4.9,4.4,2026-01-01,2024,8,18,6,0.7582803933975474,5.333333333333333,0.3619,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
CUST100017,788303.84,598245.82,627.08,42,26.64,2023-11-21,0,25.0,Graduate,2,4.7,5.1,2026-01-01,2023,11,21,1,0.7589025825372105,7.0,0.2664,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
CUST100018,671944.56,193673.57,604.26,36,55.65,2020-12-12,0,39.0,Primary,0,6.0,6.2,2026-01-01,2020,12,12,5,0.2882284961128341,6.0,0.5565,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
CUST100019,1594946.92,538668.1,585.08,31,17.47,2019-03-27,0,26.0,Secondary,1,4.9,4.4,2026-01-01,2019,3,27,2,0.3377341861633866,5.166666666666667,0.1747,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
CUST100020,814326.18,179644.93,692.22,43,26.98,2023-02-17,0,20.0,Graduate,0,5.2,4.8,2026-01-01,2023,2,17,4,0.22060561776363372,7.166666666666667,0.2698,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
CUST100021,562528.46,215277.51,717.21,42,83.56,2019-09-28,0,52.0,Graduate,0,4.7,5.1,2026-01-01,2019,9,28,5,0.3826962106059488,7.0,0.8356,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
CUST100022,734080.83,357839.41,722.31,43,22.29,2023-12-03,0,34.0,Primary,4,4.7,5.1,2026-01-01,2023,12,3,6,0.48746595112693514,7.166666666666667,0.2229,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
CUST100023,1084284.12,98527.91,672.33,36,31.24,2021-11-09,0,37.0,Post-Graduate,1,4.7,5.1,2026-01-01,2021,11,9,1,0.09086908881410159,6.0,0.3124,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
CUST100024,290120.06,218128.82,604.8,42,19.53,2024-12-17,0,20.0,Graduate,0,4.7,5.1,2026-01-01,2024,12,17,1,0.751857075998123,7.0,0.1953,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
CUST100025,613505.34,198348.53,635.67,41,18.32,2021-04-17,0,30.0,Graduate,0,4.9,4.4,2026-01-01,2021,4,17,5,0.32330367328180065,6.833333333333333,0.1832,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
