customer_id,repayment_history
CUST100001,1
CUST100002,1
CUST100003,4
CUST100004,3
CUST100005,0
CUST100006,2
CUST100007,1
CUST100008,1
CUST100009,3
CUST100010,2
CUST100011,1
CUST100012,0
CUST100013,2
CUST100014,1
CUST100015,1
CUST100016,2
CUST100017,2
CUST100018,0
CUST100019,1
CUST100020,0
CUST100021,0
CUST100022,4
CUST100023,1
CUST100024,0
CUST100025,0
CUST100026,0
CUST100027,0
CUST100028,1
CUST100029,4
CUST100030,1
CUST100031,0
CUST100032,2
CUST100033,0
CUST100034,1
CUST100035,1
CUST100036,1
CUST100037,1
CUST100038,2
CUST100039,6
CUST100040,6
CUST100041,5
CUST100042,1
CUST100043,2
CUST100044,0
CUST100045,4
CUST100046,1
CUST100047,1
CUST100048,2
CUST100049,1
CUST100050,1
CUST100051,0
CUST100052,1
CUST100053,2
CUST100054,0
CUST100055,3
CUST100056,2
CUST100057,3
CUST100058,2
CUST100059,2
CUST100060,3
CUST100061,1
CUST100062,2
CUST100063,4
CUST100064,2
CUST100065,1
CUST100066,2
CUST100067,5
CUST100068,2
CUST100069,1
CUST100070,0
CUST100071,4
CUST100072,0
CUST100073,2
CUST100074,2
CUST100075,2
CUST100076,2
CUST100077,3
CUST100078,0
CUST100079,1
CUST100080,1
CUST100081,1
CUST100082,1
CUST100083,3
CUST100084,0
CUST100085,3
CUST100086,1
CUST100087,2
CUST100088,1
CUST100089,2
CUST100090,4
CUST100091,1
CUST100092,0
CUST100093,3
CUST100094,3
CUST100095,1
CUST100096,1
CUST100097,4
CUST100098,2
CUST100099,1
CUST100100,2
CUST100101,1
CUST100102,1
CUST100103,2
CUST100104,2
CUST100105,0
CUST100106,2
CUST100107,2
CUST100108,1
CUST100109,1
CUST100110,2
CUST100111,0
CUST100112,4
CUST100113,3
CUST100114,2
CUST100115,0
CUST100116,1
CUST100117,0
CUST100118,2
CUST100119,2
CUST100120,1
CUST100121,4
CUST100122,5
CUST100123,1
CUST100124,2
CUST100125,3
CUST100126,3
CUST100127,2
CUST100128,2
CUST100129,2
CUST100130,3
CUST100131,1
CUST100132,0
CUST100133,2
CUST100134,2
CUST100135,1
CUST100136,3
CUST100137,3
CUST100138,4
CUST100139,2
CUST100140,4
CUST100141,4
CUST100142,0
CUST100143,1
CUST100144,2
CUST100145,2
CUST100146,1
CUST100147,0
CUST100148,1
CUST100149,3
CUST100150,1
CUST100151,1
CUST100152,3
CUST100153,1
CUST100154,2
CUST100155,1
CUST100156,1
CUST100157,2
CUST100158,3
CUST100159,2
CUST100160,0
CUST100161,1
CUST100162,1
CUST100163,1
CUST100164,2
CUST100165,2
CUST100166,1
CUST100167,7
CUST100168,0
CUST100169,2
CUST100170,0
CUST100171,4
CUST100172,2
CUST100173,2
CUST100174,0
CUST100175,2
CUST100176,2
CUST100177,3
CUST100178,0
CUST100179,2
CUST100180,2
CUST100181,2
CUST100182,0
CUST100183,3
CUST100184,2
CUST100185,0
CUST100186,5
CUST100187,3
CUST100188,0
CUST100189,2
CUST100190,2
CUST100191,2
CUST100192,5
CUST100193,0
CUST100194,1
CUST100195,3
CUST100196,2
CUST100197,2
CUST100198,1
CUST100199,1
CUST100200,0
CUST100201,1
CUST100202,1
CUST100203,3
CUST100204,3
CUST100205,2
CUST100206,1
CUST100207,1
CUST100208,1
CUST100209,3
CUST100210,4
CUST100211,1
CUST100212,3
CUST100213,2
CUST100214,1
CUST100215,2
CUST100216,2
CUST100217,1
CUST100218,1
CUST100219,3
CUST100220,2
CUST100221,1
CUST100222,2
CUST100223,2
CUST100224,4
CUST100225,1
CUST100226,0
CUST100227,1
CUST100228,0
CUST100229,1
CUST100230,0
CUST100231,0
CUST100232,1
CUST100233,3
CUST100234,0
CUST100235,1
CUST100236,2
CUST100237,0
CUST100238,3
CUST100239,4
CUST100240,2
CUST100241,0
CUST100242,1
CUST100243,2
CUST100244,0
CUST100245,4
CUST100246,1
CUST100247,0
CUST100248,1
CUST100249,1
CUST100250,2
CUST100251,1
CUST100252,2
CUST100253,4
CUST100254,3
CUST100255,2
CUST100256,1
CUST100257,3
CUST100258,0
CUST100259,0
CUST100260,2
CUST100261,2
CUST100262,2
CUST100263,4
CUST100264,3
CUST100265,3
CUST100266,0
CUST100267,1
CUST100268,3
CUST100269,1
CUST100270,1
CUST100271,1
CUST100272,0
CUST100273,0
CUST100274,4
CUST100275,1
CUST100276,2
CUST100277,0
CUST100278,1
CUST100279,2
CUST100280,1
CUST100281,2
CUST100282,3
CUST100283,2
CUST100284,1
CUST100285,0
CUST100286,3
CUST100287,1
CUST100288,3
CUST100289,3
CUST100290,1
CUST100291,1
CUST100292,0
CUST100293,0
CUST100294,1
CUST100295,1
CUST100296,1
CUST100297,3
CUST100298,0
CUST100299,2
CUST100300,1
CUST100301,2
CUST100302,1
CUST100303,1
CUST100304,1
CUST100305,2
CUST100306,2
CUST100307,2
CUST100308,2
CUST100309,1
CUST100310,1
CUST100311,2
CUST100312,2
CUST100313,3
CUST100314,1
CUST100315,2
CUST100316,2
CUST100317,2
CUST100318,1
CUST100319,2
CUST100320,3
CUST100321,1
CUST100322,0
CUST100323,1
CUST100324,4
CUST100325,5
CUST100326,3
CUST100327,2
CUST100328,1
CUST100329,1
CUST100330,2
CUST100331,1
CUST100332,0
CUST100333,1
CUST100334,1
CUST100335,0
CUST100336,3
CUST100337,1
CUST100338,1
CUST100339,0
CUST100340,0
CUST100341,2
CUST100342,2
CUST100343,1
CUST100344,1
CUST100345,1
CUST100346,1
CUST100347,2
CUST100348,2
CUST100349,1
CUST100350,2
CUST100351,1
CUST100352,0
CUST100353,3
CUST100354,3
CUST100355,1
CUST100356,4
CUST100357,0
CUST100358,0
CUST100359,3
CUST100360,3
CUST100361,1
CUST100362,2
CUST100363,4
CUST100364,1
CUST100365,2
CUST100366,0
CUST100367,1
CUST100368,4
CUST100369,4
CUST100370,2
CUST100371,0
CUST100372,1
CUST100373,0
CUST100374,0
CUST100375,2
CUST100376,1
CUST100377,2
CUST100378,5
CUST100379,5
CUST100380,3
CUST100381,2
CUST100382,3
CUST100383,1
CUST100384,1
CUST100385,3
CUST100386,2
CUST100387,0
CUST100388,0
CUST100389,1
CUST100390,1
CUST100391,3
CUST100392,2
CUST100393,1
CUST100394,2
CUST100395,4
CUST100396,0
CUST100397,1
CUST100398,0
CUST100399,2
CUST100400,0
CUST100401,3
CUST100402,1
CUST100403,0
CUST100404,3
CUST100405,3
CUST100406,2
CUST100407,0
CUST100408,0
CUST100409,1
CUST100410,2
CUST100411,1
CUST100412,3
CUST100413,4
CUST100414,2
CUST100415,3
CUST100416,1
CUST100417,1
CUST100418,3
CUST100419,1
CUST100420,3
CUST100421,0
CUST100422,1
CUST100423,2
CUST100424,1
CUST100425,2
CUST100426,3
CUST100427,0
CUST100428,2
CUST100429,2
CUST100430,4
CUST100431,2
CUST100432,4
CUST100433,1
CUST100434,1
CUST100435,1
CUST100436,2
CUST100437,1
CUST100438,1
CUST100439,2
CUST100440,2
CUST100441,2
CUST100442,2
CUST100443,2
CUST100444,6
CUST100445,2
CUST100446,1
CUST100447,3
CUST100448,1
CUST100449,5
CUST100450,2
CUST100451,1
CUST100452,1
CUST100453,2
CUST100454,0
CUST100455,5
CUST100456,3
CUST100457,1
CUST100458,4
CUST100459,0
CUST100460,1
CUST100461,1
CUST100462,3
CUST100463,0
CUST100464,3
CUST100465,0
CUST100466,2
CUST100467,2
CUST100468,3
CUST100469,1
CUST100470,4
CUST100471,0
CUST100472,2
CUST100473,0
CUST100474,0
CUST100475,6
CUST100476,1
CUST100477,1
CUST100478,1
CUST100479,1
CUST100480,4
CUST100481,0
CUST100482,2
CUST100483,4
CUST100484,1
CUST100485,1
CUST100486,1
CUST100487,0
CUST100488,4
CUST100489,1
CUST100490,2
CUST100491,3
CUST100492,1
CUST100493,4
CUST100494,2
CUST100495,2
CUST100496,3
CUST100497,4
CUST100498,3
CUST100499,3
CUST100500,1
CUST100501,1
CUST100502,3
CUST100503,2
CUST100504,3
CUST100505,0
CUST100506,0
CUST100507,2
CUST100508,2
CUST100509,2
CUST100510,1
CUST100511,2
CUST100512,2
CUST100513,1
CUST100514,2
CUST100515,4
CUST100516,3
CUST100517,0
CUST100518,4
CUST100519,2
CUST100520,2
CUST100521,1
CUST100522,4
CUST100523,0
CUST100524,1
CUST100525,1
CUST100526,1
CUST100527,2
CUST100528,1
CUST100529,1
CUST100530,1
CUST100531,3
CUST100532,0
CUST100533,1
CUST100534,1
CUST100535,2
CUST100536,1
CUST100537,3
CUST100538,1
CUST100539,2
CUST100540,3
CUST100541,3
CUST100542,0
CUST100543,0
CUST100544,2
CUST100545,4
CUST100546,0
CUST100547,0
CUST100548,0
CUST100549,1
CUST100550,0
CUST100551,0
CUST100552,0
CUST100553,3
CUST100554,1
CUST100555,3
CUST100556,2
CUST100557,1
CUST100558,1
CUST100559,2
CUST100560,1
CUST100561,3
CUST100562,1
CUST100563,0
CUST100564,1
CUST100565,1
CUST100566,0
CUST100567,1
CUST100568,2
CUST100569,0
CUST100570,0
CUST100571,2
CUST100572,0
CUST100573,0
CUST100574,2
CUST100575,3
CUST100576,1
CUST100577,3
CUST100578,1
CUST100579,1
CUST100580,0
CUST100581,2
CUST100582,0
CUST100583,5
CUST100584,2
CUST100585,1
CUST100586,3
CUST100587,1
CUST100588,1
CUST100589,2
CUST100590,2
CUST100591,1
CUST100592,2
CUST100593,1
CUST100594,4
CUST100595,0
CUST100596,2
CUST100597,1
CUST100598,0
CUST100599,0
CUST100600,1
CUST100601,1
CUST100602,0
CUST100603,1
CUST100604,2
CUST100605,1
CUST100606,3
CUST100607,3
CUST100608,0
CUST100609,1
CUST100610,1
CUST100611,1
CUST100612,1
CUST100613,1
CUST100614,3
CUST100615,2
CUST100616,5
CUST100617,1
CUST100618,1
CUST100619,2
CUST100620,0
CUST100621,2
CUST100622,1
CUST100623,1
CUST100624,2
CUST100625,1
CUST100626,0
CUST100627,1
CUST100628,1
CUST100629,3
CUST100630,1
CUST100631,0
CUST100632,3
CUST100633,0
CUST100634,3
CUST100635,2
CUST100636,2
CUST100637,1
CUST100638,4
CUST100639,1
CUST100640,0
CUST100641,4
CUST100642,2
CUST100643,3
CUST100644,3
CUST100645,4
CUST100646,0
CUST100647,1
CUST100648,2
CUST100649,0
CUST100650,2
CUST100651,1
CUST100652,2
CUST100653,6
CUST100654,2
CUST100655,2
CUST100656,2
CUST100657,3
CUST100658,2
CUST100659,1
CUST100660,1
CUST100661,4
CUST100662,3
CUST100663,4
CUST100664,2
CUST100665,1
CUST100666,0
CUST100667,1
CUST100668,1
CUST100669,1
CUST100670,0
CUST100671,1
CUST100672,3
CUST100673,1
CUST100674,1
CUST100675,1
CUST100676,2
CUST100677,5
CUST100678,2
CUST100679,3
CUST100680,3
CUST100681,1
CUST100682,2
CUST100683,1
CUST100684,0
CUST100685,1
CUST100686,5
CUST100687,1
CUST100688,2
CUST100689,2
CUST100690,3
CUST100691,3
CUST100692,1
CUST100693,3
CUST100694,1
CUST100695,3
CUST100696,3
CUST100697,3
CUST100698,2
CUST100699,0
CUST100700,1
CUST100701,3
CUST100702,2
CUST100703,3
CUST100704,4
CUST100705,2
CUST100706,0
CUST100707,3
CUST100708,0
CUST100709,3
CUST100710,2
CUST100711,5
CUST100712,4
CUST100713,2
CUST100714,3
CUST100715,1
CUST100716,2
CUST100717,1
CUST100718,4
CUST100719,1
CUST100720,0
CUST100721,1
CUST100722,1
CUST100723,1
CUST100724,0
CUST100725,2
CUST100726,1
CUST100727,3
CUST100728,2
CUST100729,2
CUST100730,2
CUST100731,1
CUST100732,0
CUST100733,1
CUST100734,2
CUST100735,0
CUST100736,4
CUST100737,1
CUST100738,3
CUST100739,3
CUST100740,1
CUST100741,1
CUST100742,0
CUST100743,2
CUST100744,2
CUST100745,3
CUST100746,0
CUST100747,1
CUST100748,2
CUST100749,1
CUST100750,3
CUST100751,2
CUST100752,2
CUST100753,0
CUST100754,1
CUST100755,2
CUST100756,1
CUST100757,2
CUST100758,1
CUST100759,5
CUST100760,1
CUST100761,2
CUST100762,5
CUST100763,2
CUST100764,0
CUST100765,3
CUST100766,2
CUST100767,1
CUST100768,0
CUST100769,1
CUST100770,3
CUST100771,2
CUST100772,1
CUST100773,2
CUST100774,2
CUST100775,1
CUST100776,3
CUST100777,0
CUST100778,1
CUST100779,3
CUST100780,2
CUST100781,1
CUST100782,0
CUST100783,2
CUST100784,1
CUST100785,1
CUST100786,2
CUST100787,1
CUST100788,4
CUST100789,3
CUST100790,2
CUST100791,4
CUST100792,3
CUST100793,1
CUST100794,1
CUST100795,2
CUST100796,2
CUST100797,2
CUST100798,1
CUST100799,4
CUST100800,1
CUST100801,0
CUST100802,1
CUST100803,6
CUST100804,0
CUST100805,1
CUST100806,3
CUST100807,1
CUST100808,1
CUST100809,1
CUST100810,0
CUST100811,1
CUST100812,1
CUST100813,2
CUST100814,2
CUST100815,0
CUST100816,1
CUST100817,2
CUST100818,0
CUST100819,1
CUST100820,4
CUST100821,0
CUST100822,0
CUST100823,1
CUST100824,0
CUST100825,1
CUST100826,0
CUST100827,2
CUST100828,3
CUST100829,2
CUST100830,1
CUST100831,3
CUST100832,4
CUST100833,0
CUST100834,0
CUST100835,4
CUST100836,2
CUST100837,3
CUST100838,0
CUST100839,2
CUST100840,3
CUST100841,3
CUST100842,2
CUST100843,1
CUST100844,0
CUST100845,1
CUST100846,4
CUST100847,2
CUST100848,5
CUST100849,2
CUST100850,1
CUST100851,2
CUST100852,3
CUST100853,3
CUST100854,3
CUST100855,1
CUST100856,1
CUST100857,3
CUST100858,0
CUST100859,0
CUST100860,3
CUST100861,3
CUST100862,3
CUST100863,1
CUST100864,1
CUST100865,0
CUST100866,2
CUST100867,1
CUST100868,4
CUST100869,2
CUST100870,2
CUST100871,0
CUST100872,2
CUST100873,2
CUST100874,0
CUST100875,3
CUST100876,5
CUST100877,0
CUST100878,1
CUST100879,0
CUST100880,3
CUST100881,1
CUST100882,1
CUST100883,1
CUST100884,2
CUST100885,0
CUST100886,3
CUST100887,1
CUST100888,4
CUST100889,1
CUST100890,3
CUST100891,2
CUST100892,1
CUST100893,3
CUST100894,1
CUST100895,3
CUST100896,1
CUST100897,1
CUST100898,0
CUST100899,2
CUST100900,5
CUST100901,4
CUST100902,1
CUST100903,1
CUST100904,2
CUST100905,2
CUST100906,0
CUST100907,3
CUST100908,1
CUST100909,4
CUST100910,4
CUST100911,1
CUST100912,1
CUST100913,1
CUST100914,2
CUST100915,3
CUST100916,3
CUST100917,1
CUST100918,2
CUST100919,1
CUST100920,5
CUST100921,2
CUST100922,2
CUST100923,1
CUST100924,0
CUST100925,2
CUST100926,4
CUST100927,0
CUST100928,3
CUST100929,0
CUST100930,0
CUST100931,0
CUST100932,7
CUST100933,2
CUST100934,3
CUST100935,1
CUST100936,1
CUST100937,2
CUST100938,1
CUST100939,0
CUST100940,1
CUST100941,1
CUST100942,0
CUST100943,2
CUST100944,3
CUST100945,2
CUST100946,6
CUST100947,2
CUST100948,2
CUST100949,5
CUST100950,2
CUST100951,1
CUST100952,1
CUST100953,2
CUST100954,1
CUST100955,2
CUST100956,3
CUST100957,1
CUST100958,1
CUST100959,4
CUST100960,2
CUST100961,1
CUST100962,1
