customer_id,annual_income,loan_amount,loan_purpose,credit_score,transaction_count,spending_ratio,join_date,default_flag
CUST100001,513968.72,298514.38,Other,631.21,49,31.16,2019-11-12,1
CUST100002,,300776.56,Education,,51,54.54,2024-01-20,0
CUST100003,1021614.47,148211.5,Other,680.14,41,16.46,2022-01-06,0
CUST100004,351832.2,227458.78,Education,590.62,54,15.89,2020-06-14,0
CUST100005,657195.96,413843.75,Education,649.94,54,29.01,2025-07-30,0
CUST100006,1952914.33,1093881.58,Car,705.2,44,22.84,2024-02-03,0
CUST100007,881332.45,544879.47,Car,596.97,38,27.31,2020-10-23,0
CUST100008,832879.29,714613.44,Education,755.18,46,31.5,2022-07-19,0
CUST100009,1805325.66,141758.15,Education,762.52,38,49.45,2022-05-04,0
CUST100010,1289590.01,108115.99,Home,599.07,41,28.78,2019-05-07,1
CUST100011,886951.91,181345.2,Car,768.25,48,23.57,2019-12-15,0
CUST100012,547888.94,411490.78,Home,670.67,45,29.57,2023-11-02,0
CUST100013,641939.13,315726.3,Other,707.2,42,24.2,2021-12-03,0
CUST100014,625002.24,375846.91,Education,647.72,39,22.35,2020-12-28,1
CUST100015,521228.39,153656.27,Business,740.0,42,16.14,2019-09-01,0
CUST100016,730400.08,553848.06,Other,825.0,32,36.19,2024-08-18,0
CUST100017,788303.84,598245.82,Business,627.08,42,26.64,2023-11-21,0
CUST100018,,193673.57,Other,604.26,36,55.65,2020-12-12,0
CUST100019,1594946.92,538668.1,Car,585.08,31,17.47,2019-03-27,0
CUST100020,814326.18,179644.93,Home,692.22,43,26.98,2023-02-17,0
CUST100021,562528.46,215277.51,Car,717.21,42,83.56,2019-09-28,0
CUST100022,734080.83,357839.41,Education,722.31,43,22.29,2023-12-03,0
CUST100023,1084284.12,98527.91,Other,672.33,36,31.24,2021-11-09,0
CUST100024,290120.06,218128.82,Education,604.8,42,19.53,2024-12-17,0
CUST100025,613505.34,198348.53,Car,635.67,41,18.32,2021-04-17,0
CUST100026,338577.05,250516.65,Business,754.9,46,73.56,2023-11-12,0
CUST100027,2802660.61,1515151.51,Education,648.5,36,37.99,2021-07-25,0
CUST100028,701327.3,68205.12,Home,689.32,52,37.32,2022-08-26,0
CUST100029,340090.67,240557.55,Education,610.08,49,15.5,2024-01-07,0
CUST100030,4000000.0,1563431.13,Other,701.88,39,41.58,2023-07-09,0
CUST100031,484037.38,80976.36,Business,650.25,44,61.0,2025-11-25,0
CUST100032,579391.5,428487.66,Education,748.04,43,60.77,2025-07-13,0
CUST100033,602889.14,79539.79,Car,730.28,34,48.24,2019-11-15,0
CUST100034,407727.14,123587.56,Home,647.78,41,20.35,2023-03-17,0
